conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1.77938E+18;Sun Apr 14 05:24:47 +0000 2024;0;@scece Kalo dari review orang sih lebih rekomen yg siksa kubur.;1.77938E+18;;scece;in;;0;1;0;https://twitter.com/bakwwan/status/1779380259349315965;1.40774E+18;bakwwan
1.77882E+18;Fri Apr 12 16:28:31 +0000 2024;0;WOI REVIEW DONG SIKSA KUBUR;1.77882E+18;;;in;V's;0;0;0;https://twitter.com/aerichamndesu/status/1778822516225810880;1.62977E+18;aerichamndesu
1.77937E+18;Sun Apr 14 04:57:32 +0000 2024;0;AAAAA mau nonton siksa kubur bgt gue penasaran grgr baca review orang di letterboxd;1.77937E+18;;;in;she/her ? #LN4;0;2;0;https://twitter.com/martabakjpg/status/1779373399284048382;1.46853E+18;martabakjpg
1.77838E+18;Thu Apr 11 10:54:34 +0000 2024;1;Tidak lupa juga Ceon sekalian nonton film Siksa Kubur. Film yg satu ini berbeda dri horor religi kebanyakan dan banyak scene yang ga diexpect sm skli terutama di babak ketiganya. Review lengkapnya menyusul yaa~ . #vtuber #siksakubur #filmsiksakubur #jokoanwar;1.77838E+18;;;in;;0;0;0;https://twitter.com/CeonHectorvia/status/1778376085811638305;1.55621E+18;CeonHectorvia
1.77773E+18;Tue Apr 09 19:59:52 +0000 2024;0;@moviemenfes Buat yang mau nonton Siksa Kubur https://t.co/xM7TQLttMp;1.77779E+18;;moviemenfes;in;;0;0;0;https://twitter.com/fxdhilrxm/status/1777788541151613418;629325216;fxdhilrxm
1.77871E+18;Fri Apr 12 09:06:01 +0000 2024;0;Yang review Siksa Kubur udah 55 aja nih. Kamu udah ikut ripyu belom? https://t.co/CsFMH7Br4i;1.77871E+18;;;in;Shatterdome Anchorage;1;2;0;https://twitter.com/ssetiawan/status/1778711156422795697;48053374;ssetiawan
1.77862E+18;Fri Apr 12 03:15:00 +0000 2024;0;Ini review mvs Siksa Kubur nya napa ada potonya kk Jennie Blackpink sih;1.77862E+18;;;in;MORE INFO CHECK LIKES;0;1;0;https://twitter.com/moviemenfes/status/1778622821205459178;1565895180;moviemenfes
1.77922E+18;Sat Apr 13 18:28:23 +0000 2024;0;Nonton siksa kubur sebenernya biasa aja tapi epik nya itu di ending scene nya setelah baca review filmnya di twitter sangat membantu dan mind blow. @jokoanwar big respect bang. Keknya ini film Jokan yg kedua bakal gua jadiin judul lagu buat band gua puritans.;1.77922E+18;;;in;;0;1;0;https://twitter.com/johnxgond/status/1779215071518044545;1.29073E+18;johnxgond
1.77865E+18;Fri Apr 12 04:49:37 +0000 2024;0;Review super singkat siksa kubur hhh https://t.co/sFXMgl85GI;1.77865E+18;;;in;Zine Mizu no Nai Pool;0;0;0;https://twitter.com/kucingtawur/status/1778646633351438664;77684045;kucingtawur
1.77844E+18;Thu Apr 11 15:13:02 +0000 2024;0;Udh lama gak sempet review film karena kurang fit dan mencoba untuk mengurangi screen time! Special comeback kali ini review 2 film horror Indo yang tayang perdana untuk public hari ini bukan ajang compare cuman ya kebetulan aja nonton bergantian #SiksaKubur #Badarawuhi https://t.co/CVz1x98wM7;1.77844E+18;https://pbs.twimg.com/media/GK5KxCKbcAAdwtN.jpg;;in;;0;1;0;https://twitter.com/iucup/status/1778441134492254600;68680448;iucup
